"","V1","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","siteID"
"45","H",4.621847225,11.92349426,16.30033179,19.67157328,22.02709881,23.8753795,25.62993717,27.11694271,NA,NA,NA,"PA123"
"46","DBH",7.211626616,12.61821507,17.74035939,23.17217092,27.89488766,32.28320074,37.05990385,41.70340064,NA,NA,NA,"PA123"
"47","BA",0.395356869,0.609277338,1.092099288,2.202284725,4.165871239,4.921157237,0.86308975,2.187261628,NA,NA,NA,"PA123"
"48","Hc",0.982386086,5.245995267,6.692396056,8.041415847,8.283919041,8.671008043,9.081320424,9.314545831,NA,NA,NA,"PA123"
"49","Ac",0.004011357,0.012407278,0.024534438,0.042065629,0.060976812,0.081733287,0.107600219,0.136417852,NA,NA,NA,"PA123"
"50","speciesID",2,2,2,2,2,2,2,2,2,2,2,"PA131"
"51","age",0,0,0,0,0,0,0,0,0,0,0,"PA131"
"52","H",4.627595681,10.39319507,15.20053722,17.36217155,19.99733071,NA,24.55333162,25.21763593,NA,27.81570453,NA,"PA131"
"53","DBH",7.286400693,11.70122645,17.6757221,21.28003723,26.74325072,NA,39.59886362,41.97486025,NA,52.5,NA,"PA131"
"54","BA",0.440897396,0.695341268,1.182291271,1.851695551,0.901175277,NA,0.492623719,1.108897384,NA,0.865901475,NA,"PA131"
"55","Hc",1.411015749,4.226155395,5.917670733,7.00150501,7.524872842,NA,8.6716594,8.547479555,NA,9.102031148,NA,"PA131"
"56","Ac",0.004122974,0.010578707,0.024345068,0.03532353,0.056037455,NA,0.12286993,0.138326173,NA,0.216189369,NA,"PA131"
"57","speciesID",2,2,2,2,2,2,2,2,2,2,2,"PA132"
"58","age",0,0,0,0,0,0,0,0,0,0,0,"PA132"
"59","H",6.45548096,12.53266104,16.23507428,19.39952042,20.90388495,22.87112013,NA,NA,27.50866586,28.50041382,NA,"PA132"
"60","DBH",6.942847957,12.15964355,17.16459944,23.10801874,26.62554975,32.04064563,NA,NA,49.54573645,54.4,NA,"PA132"
"61","BA",0.802174268,1.177214458,1.860331789,2.860489226,2.233829456,2.586287878,NA,NA,0.771191881,0.929710364,NA,"PA132"
"62","Hc",2.730356415,6.004299871,6.854041896,7.572870306,7.960696595,8.273741029,NA,NA,9.060820612,9.240457272,NA,"PA132"
"63","Ac",0.003646227,0.011486145,0.022968147,0.041780018,0.055559736,0.080535496,NA,NA,0.19251197,0.232141591,NA,"PA132"
"64","speciesID",2,2,2,2,2,2,2,2,2,2,2,"PA6"
"65","age",0,0,0,0,0,0,0,0,0,0,0,"PA6"
"66","H",6.253328655,14.49548577,17.93187462,22.03314172,24.64530592,26.62812411,29.12547783,NA,NA,NA,NA,"PA6"
"67","DBH",7.2909566,13.02415617,16.72206102,22.55488999,27.2628936,31.5081848,37.81589661,NA,NA,NA,NA,"PA6"
"68","BA",0.357228537,1.51264741,2.625566425,6.02288963,4.752287207,2.927738551,1.405165672,NA,NA,NA,NA,"PA6"
"69","Hc",1.853095224,7.231747707,7.500946825,8.402128866,9.198748338,9.427234247,9.786456396,NA,NA,NA,NA,"PA6"
"70","Ac",0.004110659,0.013159755,0.021824033,0.039866598,0.058203689,0.077787028,0.112127254,NA,NA,NA,NA,"PA6"
"71","speciesID",2,2,2,2,2,2,2,2,2,2,2,"PA61"
"72","age",0,0,0,0,0,0,0,0,0,0,0,"PA61"
"73","H",8.510372705,13.55300415,17.8714733,21.22669387,23.81089531,26.67873602,28.34189581,NA,NA,NA,NA,"PA61"
"74","DBH",8.680347983,12.57665989,17.28095806,22.18971296,26.8644076,33.25773949,37.63121267,NA,NA,NA,NA,"PA61"
"75","BA",0.537543956,2.938462509,6.552079458,5.183313719,3.786788518,2.899655113,3.708711214,NA,NA,NA,NA,"PA61"
"76","Hc",4.980551031,7.276699782,8.180560116,8.71393339,9.294034265,9.455484587,9.621978314,NA,NA,NA,NA,"PA61"
"77","Ac",0.00576137,0.012307411,0.023301486,0.038588853,0.056515828,0.086703653,0.110975336,NA,NA,NA,NA,"PA61"
"78","speciesID",2,2,2,2,2,2,2,2,2,2,2,"PA62"
"79","age",0,0,0,0,0,0,0,0,0,0,0,"PA62"
"80","H",7.07395084,13.74852165,18.4323588,21.50605983,24.00886583,NA,27.75694575,NA,NA,NA,NA,"PA62"
"81","DBH",7.752930216,12.64174747,17.84978483,22.39069499,26.93444649,NA,35.54584237,NA,NA,NA,NA,"PA62"
"82","BA",1.240772019,2.971353238,3.364148313,6.155671552,5.077319874,NA,2.205520216,NA,NA,NA,NA,"PA62"
"83","Hc",4.401310731,6.928430304,7.863469735,8.466572294,8.996212034,NA,9.427882421,NA,NA,NA,NA,"PA62"
"84","Ac",0.004569195,0.012448371,0.024945112,0.039286174,0.056833849,NA,0.09896241,NA,NA,NA,NA,"PA62"
"85","speciesID",2,2,2,2,2,2,2,2,2,2,2,"PA63"
"86","age",0,0,0,0,0,0,0,0,0,0,0,"PA63"
"87","H",5.246105965,12.57585241,17.27188257,20.53295325,22.85527213,NA,NA,NA,NA,NA,NA,"PA63"
"88","DBH",7.145843349,12.27886012,17.50167855,22.439522,26.74063338,NA,NA,NA,NA,NA,NA,"PA63"
"89","BA",1.675934961,4.390314647,4.568024071,3.977771172,1.877764836,NA,NA,NA,NA,NA,NA,"PA63"
"90","Hc",2.376126834,6.889466737,7.749911142,8.310629586,8.441704861,NA,NA,NA,NA,NA,NA,"PA63"
"91","Ac",0.003903837,0.011687585,0.023897657,0.039491712,0.056046945,NA,NA,NA,NA,NA,NA,"PA63"
"92","speciesID",2,2,2,2,2,2,2,2,2,2,2,"PA67"
"93","age",0,0,0,0,0,0,0,0,0,0,0,"PA67"
"94","H",7.254216846,13.25483538,17.27365776,20.22059681,22.17717497,24.26657373,25.6143923,NA,NA,NA,NA,"PA67"
"95","DBH",7.793381409,12.87648873,17.93036178,22.93376782,26.9894255,32.12244704,35.92207535,NA,NA,NA,NA,"PA67"
"96","BA",0.15109588,1.072426831,2.695039802,3.888354136,8.605754939,3.044429083,1.26691596,NA,NA,NA,NA,"PA67"
"97","Hc",4.711196443,6.814150203,7.693535906,7.97485793,8.39510811,8.747026931,9.193236023,NA,NA,NA,NA,"PA67"
"98","Ac",0.004549068,0.012913099,0.02507908,0.041189777,0.0570857,0.080898776,0.101067277,NA,NA,NA,NA,"PA67"
"99","speciesID",2,2,2,2,2,2,2,2,2,2,2,"PA7"
"100","age",0,0,0,0,0,0,0,0,0,0,0,"PA7"
"101","H",6.894789206,12.82224288,16.82831612,20.4975279,23.35303378,25.39945784,NA,NA,NA,31.54595789,NA,"PA7"
"102","DBH",8.507661645,12.96228774,17.31170931,22.56088341,27.78707153,32.2278069,NA,NA,NA,50.39990079,NA,"PA7"
"103","BA",0.220053839,2.17350106,4.7489689,6.267133732,3.423648769,4.597112165,NA,NA,NA,1.246893215,NA,"PA7"
"104","Hc",2.726218726,6.489365687,7.468545482,8.40143881,8.703871487,9.29187303,NA,NA,NA,10.06823107,NA,"PA7"
"105","Ac",0.005582102,0.013089391,0.023458844,0.039823656,0.060578867,0.081440438,NA,NA,NA,0.199216914,NA,"PA7"
"106","speciesID",2,2,2,2,2,2,2,2,2,2,2,"PA8"
"107","age",0,0,0,0,0,0,0,0,0,0,0,"PA8"
"108","H",7.074379321,11.69174528,17.55238258,21.43833812,24.44019055,26.6488556,NA,NA,NA,NA,NA,"PA8"
"109","DBH",9.361896776,12.42159883,17.77384277,22.50816713,27.02522816,30.91462742,NA,NA,NA,NA,NA,"PA8"
"110","BA",0.173180295,1.449496489,4.214687073,3.992743369,2.873855328,1.408356352,NA,NA,NA,NA,NA,"PA8"
"111","Hc",2.689481022,5.255793329,7.192821451,8.14312755,8.650165866,9.157830329,NA,NA,NA,NA,NA,"PA8"
"112","Ac",0.006641212,0.011920286,0.024689923,0.039641434,0.057191107,0.074826339,NA,NA,NA,NA,NA,"PA8"
"113","speciesID",2,2,2,2,2,2,2,2,2,2,2,"VA101"
"114","age",0,0,0,0,0,0,0,0,0,0,0,"VA101"
"115","H",7.665632046,17.13830149,19.78054765,24.0511386,26.95821691,29.53946895,31.73593675,33.85197482,35.27777367,37.21523212,NA,"VA101"
"116","DBH",7.607963045,14.09907571,16.79880948,22.41681361,27.24328667,32.37859345,37.49334252,43.19550946,47.51803707,54.1,NA,"VA101"
"117","BA",0.075278843,0.125409237,0.088655745,0.792608119,2.341052014,3.30388733,3.981707936,7.627912627,2.838793387,0.919484479,NA,"VA101"
"118","Hc",2.886933971,7.569242487,9.103215812,8.781634685,9.333811143,9.871365518,10.13941326,10.43012697,10.71084637,10.81899899,NA,"VA101"
"119","Ac",0.004418928,0.015390155,0.021877936,0.039344406,0.0582403,0.082311183,0.110316998,0.146404627,0.177138587,0.22958512,NA,"VA101"
"120","speciesID",2,2,2,2,2,2,2,2,2,2,2,"VA109"
"121","age",0,0,0,0,0,0,0,0,0,0,0,"VA109"
"122","H",6.269925951,13.64614407,18.50276109,21.55414973,23.80829241,26.64173504,NA,NA,NA,NA,NA,"VA109"
"123","DBH",7.375145148,12.47941395,17.74813834,22.1842103,26.12252303,32.14692695,NA,NA,NA,NA,NA,"VA109"
"124","BA",1.138964782,3.945148241,4.971614553,3.881040116,2.346421192,2.538127066,NA,NA,NA,NA,NA,"VA109"
"125","Hc",3.412851644,6.817425768,7.967854677,8.626023034,8.950338994,9.517452967,NA,NA,NA,NA,NA,"VA109"
"126","Ac",0.004158741,0.012090936,0.024572073,0.038524401,0.053346484,0.080934066,NA,NA,NA,NA,NA,"VA109"
"127","speciesID",2,2,2,2,2,2,2,2,2,2,2,"VA112"
"128","age",0,0,0,0,0,0,0,0,0,0,0,"VA112"
"129","H",5.687281394,11.52581158,16.37511643,19.79265449,21.37952109,23.23316107,24.75209179,27.0648501,27.73617957,NA,NA,"VA112"
"130","DBH",6.81114616,11.22512011,17.25833729,23.29000366,26.76753452,31.50125852,36.02471374,44.19717186,46.89957356,NA,NA,"VA112"
"131","BA",2.276040244,0.996007044,2.098452993,3.327897825,1.253355842,2.598437464,1.132526698,1.704654354,1.919486931,NA,NA,"VA112"
"132","Hc",2.728924652,6.103403257,7.448314033,7.708604229,7.766657049,8.570057002,9.018656913,9.397426222,9.370218698,NA,NA,"VA112"
"133","Ac",0.0035074,0.00967407,0.023321596,0.042501258,0.056115013,0.077667124,0.101641403,0.153132892,0.172467824,NA,NA,"VA112"
"134","speciesID",2,2,2,2,2,2,2,2,2,2,2,"VA207"
"135","age",0,0,0,0,0,0,0,0,0,0,0,"VA207"
"136","H",4.879771031,14.16296972,16.99409222,20.40776269,23.06560757,24.85187346,26.50797022,27.89085343,28.89185845,NA,NA,"VA207"
"137","DBH",5.948108943,13.06582193,16.60857943,22.18695331,27.75339463,32.28023953,37.13388877,41.72443255,45.4,NA,NA,"VA207"
"138","BA",0.011114955,0.161273659,0.434557662,0.776510598,4.364357063,1.967736559,4.338957286,1.094518314,0.647532511,NA,NA,"VA207"
"139","Hc",0.980403797,5.623013574,6.741958628,7.653633231,8.288151208,8.659730336,8.919682415,9.151524355,9.305108312,NA,NA,"VA207"
"140","Ac",0.002492739,0.013153472,0.021441883,0.03853953,0.06033007,0.081703023,0.108187932,0.136528789,0.161597128,NA,NA,"VA207"
"141","speciesID",2,2,2,2,2,2,2,2,2,2,2,"VA209"
"142","age",0,0,0,0,0,0,0,0,0,0,0,"VA209"
"143","H",8.431424263,15.48957806,19.46583625,22.47791469,25.20701835,27.96300811,NA,31.15855235,NA,NA,NA,"VA209"
"144","DBH",7.809696684,13.10734636,17.55097134,21.84974727,26.68467668,32.6843734,NA,41.29987893,NA,NA,NA,"VA209"
"145","BA",0.151272595,1.360029821,3.198857997,4.700269305,2.450162472,5.778954778,NA,0.837273712,NA,NA,NA,"VA209"
"146","Hc",5.654616926,6.927729413,8.226083184,8.631619432,9.14044238,10.09296562,NA,9.862982693,NA,NA,NA,"VA209"
"147","Ac",0.004554723,0.013314298,0.024086251,0.037316154,0.055717714,0.083771524,NA,0.133677794,NA,NA,NA,"VA209"
"148","speciesID",2,2,2,2,2,2,2,2,2,2,2,"VA210"
"149","age",0,0,0,0,0,0,0,0,0,0,0,"VA210"
"150","H",4.103894628,13.49860101,18.11210789,22.16248082,25.44251743,27.91553545,29.94081966,31.92852661,NA,NA,NA,"VA210"
"151","DBH",6.809292467,12.5302154,17.04820761,22.32604673,27.77410746,32.76219522,37.4866643,42.83869333,NA,NA,NA,"VA210"
"152","BA",0.333524239,0.621068324,0.861189086,2.21027242,1.517291077,3.165807461,0.689800481,2.705485597,NA,NA,NA,"VA210"
"153","Hc",NA,6.35087827,7.978965041,8.43018214,9.216782632,9.527513018,9.704869716,10.21482075,NA,NA,NA,"VA210"
"154","Ac",0.003525706,0.012135366,0.022679042,0.039007732,0.060405643,0.084135532,0.110082077,0.144006565,NA,NA,NA,"VA210"
"155","speciesID",2,2,2,2,2,2,2,2,2,2,2,"VA211"
"156","age",0,0,0,0,0,0,0,0,0,0,0,"VA211"
"157","H",7.759684905,13.83324657,19.30133015,22.85456983,25.31940736,28.36755015,29.7368492,32.07262783,32.52333414,NA,35.60117943,"VA211"
"158","DBH",7.787016656,11.89501678,17.61092739,22.76128642,27.18218857,33.8456104,37.34742435,44.19440836,45.64734287,NA,57,"VA211"
"159","BA",0.27655342,0.910070304,1.069349052,2.297191453,4.365233175,1.689450354,2.740931598,2.87727181,2.045657874,NA,1.594849146,"VA211"
"160","Hc",4.040578434,6.410689549,7.977393381,8.721980306,9.195472424,9.857763609,10.2607645,10.29438104,10.20068129,NA,11.10317502,"VA211"
"161","Ac",0.004630505,0.010914865,0.024156264,0.040552959,0.057917109,0.089818019,0.109351264,0.153168497,0.16336663,NA,0.254889863,"VA211"
"162","speciesID",2,2,2,2,2,2,2,2,2,2,2,"VA222"
"163","age",0,0,0,0,0,0,0,0,0,0,0,"VA222"
"164","H",4.100397565,NA,NA,NA,25.10629782,26.73377445,28.38649189,30.00075969,31.45362346,NA,NA,"VA222"
"165","DBH",6.006053898,NA,NA,NA,28.99605364,32.81072307,37.13587873,41.95790653,46.81710666,NA,NA,"VA222"
"166","BA",0.277641392,NA,NA,NA,1.585367034,5.083593285,3.467705679,3.322469851,4.82622459,NA,NA,"VA222"
"167","Hc",0.984839047,NA,NA,NA,8.859486138,9.130688818,9.473786512,9.771604325,9.864712269,NA,NA,"VA222"
"168","Ac",0.002606098,NA,NA,NA,0.06577096,0.084440555,0.108079802,0.138150244,0.172079164,NA,NA,"VA222"
"169","speciesID",2,2,2,2,2,2,2,2,2,2,2,"VA228"
"170","age",0,0,0,0,0,0,0,0,0,0,0,"VA228"
"171","H",9.049385215,14.16962349,18.76951272,21.96071773,24.64451993,NA,NA,NA,NA,NA,NA,"VA228"
"172","DBH",8.146806743,12.11256709,17.37590372,22.35620864,27.67558783,NA,NA,NA,NA,NA,NA,"VA228"
"173","BA",1.42988717,2.333304497,3.701633904,2.182734942,3.347663678,NA,NA,NA,NA,NA,NA,"VA228"
"174","Hc",5.33752002,6.995401983,8.683892284,8.46523567,9.345787981,NA,NA,NA,NA,NA,NA,"VA228"
"175","Ac",0.005076077,0.011380522,0.023510218,0.039003229,0.059971946,NA,NA,NA,NA,NA,NA,"VA228"
"176","speciesID",2,2,2,2,2,2,2,2,2,2,2,"VA401"
"177","age",0,0,0,0,0,0,0,0,0,0,0,"VA401"
"178","H",NA,14.76322371,18.41102695,22.24090329,25.14088391,NA,NA,NA,NA,NA,NA,"VA401"
"179","DBH",NA,13.91321678,17.59089116,22.4492999,27.00016905,NA,NA,NA,NA,NA,NA,"VA401"
"180","BA",NA,0.571524426,4.735111531,7.45253518,5.024982358,NA,NA,NA,NA,NA,NA,"VA401"
"181","Hc",NA,7.014443098,7.785158239,8.487674565,9.029261782,NA,NA,NA,NA,NA,NA,"VA401"
"182","Ac",NA,0.014954651,0.024153285,0.039460854,0.05714237,NA,NA,NA,NA,NA,NA,"VA401"
"183","speciesID",2,2,2,2,2,2,2,2,2,2,2,"VA403"
"184","age",0,0,0,0,0,0,0,0,0,0,0,"VA403"
"185","H",10.26870628,15.26401035,18.65889154,22.12153722,24.99651704,26.9624674,29.16324894,30.78833949,NA,NA,NA,"VA403"
"186","DBH",9.373310644,13.53163361,17.34992168,22.242098,27.41611475,31.63050334,37.12004348,41.7886191,NA,NA,NA,"VA403"
"187","BA",0.259132307,1.086686716,2.687288903,3.652283083,6.285384422,3.935409304,1.354109882,3.432857562,NA,NA,NA,"VA403"
"188","Hc",5.626651729,6.72525247,7.814439321,8.774537993,9.191391691,9.547380867,9.845509602,9.854304763,NA,NA,NA,"VA403"
"189","Ac",0.006624195,0.014203156,0.023601012,0.038671686,0.058870559,0.078422186,0.108042791,0.137028302,NA,NA,NA,"VA403"
